graph_id,c_ids,total_nodes,pct_matched
DB00635_MESH_D016410_1,"['PUBCHEM.COMPOUND:5865', 'PUBCHEM.COMPOUND:5755', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0006547', 'HP:0000989', 'MONDO:0000607']",13,100.0
DB00480_MESH_D009101_1,"['PUBCHEM.COMPOUND:216326', 'GO:0001525', 'NCBIGene:51185', 'NCBIGene:10320', 'NCBIGene:22806', 'GO:0042098', 'GO:0030101', 'GO:0006915', 'GO:0071349', 'NCBIGene:7124', 'GO:0071347', 'GO:0071354', 'MONDO:0009693']",13,100.0
DB00327_MESH_D010146_1,"['PUBCHEM.COMPOUND:5284570', 'NCBIGene:4988', 'REACT:R-HSA-372790', 'NCBIGene:111', 'PUBCHEM.COMPOUND:6076', 'NCBIGene:3767', 'GO:0070509', 'GO:0060081', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'HP:0012531']",13,100.0
DB00694_MESH_D015470_1,"['PUBCHEM.COMPOUND:30323', 'GO:0001207', 'GO:0009299', 'NCBIGene:7153', 'NCBIGene:7155', 'GO:0032993', 'CHEBI:26519', 'UMLS:C0012860', 'GO:0006260', 'HP:0031377', 'GO:0006915', 'GO:0140014', 'MONDO:0018874']",13,100.0
DB00635_MESH_D009103_1,"['PUBCHEM.COMPOUND:5865', 'PUBCHEM.COMPOUND:5755', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0003401', 'MONDO:0000437', 'MONDO:0005301']",13,100.0
DB00694_MESH_D012514_1,"['PUBCHEM.COMPOUND:30323', 'GO:0001207', 'GO:0009299', 'NCBIGene:7153', 'NCBIGene:7155', 'GO:0032993', 'CHEBI:26519', 'UMLS:C0012860', 'GO:0006260', 'HP:0031377', 'GO:0006915', 'GO:0140014', 'MONDO:0005055']",13,100.0
DB01268_MESH_D002292_2,"['CHEMBL.COMPOUND:CHEMBL4861567', 'PUBCHEM.COMPOUND:5329102', 'PUBCHEM.COMPOUND:29927231', 'NCBIGene:5159', 'NCBIGene:2321', 'NCBIGene:3815', 'NCBIGene:3791', 'NCBIGene:2324', 'NCBIGene:2322', 'NCBIGene:1436', 'NCBIGene:5156', 'GO:0008284', 'GO:0045766', 'CL:0001064', 'MONDO:0005086']",13,100.0
DB01268_MESH_D046152_2,"['CHEMBL.COMPOUND:CHEMBL4861567', 'PUBCHEM.COMPOUND:5329102', 'PUBCHEM.COMPOUND:29927231', 'NCBIGene:5159', 'NCBIGene:2321', 'NCBIGene:3815', 'NCBIGene:3791', 'NCBIGene:2324', 'NCBIGene:2322', 'NCBIGene:1436', 'NCBIGene:5156', 'GO:0008284', 'GO:0045766', 'CL:0001064', 'MONDO:0011719']",13,100.0
DB00694_MESH_D015473_1,"['PUBCHEM.COMPOUND:30323', 'GO:0001207', 'GO:0009299', 'NCBIGene:7153', 'NCBIGene:7155', 'GO:0032993', 'CHEBI:26519', 'UMLS:C0012860', 'GO:0006260', 'HP:0031377', 'GO:0006915', 'GO:0140014', 'MONDO:0012883']",13,100.0
DB00741_MESH_D065631_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'UBERON:0001826', 'MONDO:0011786']",12,100.0
DB00741_MESH_D006484_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'UBERON:0000159', 'MONDO:0004872']",12,100.0
DB00741_MESH_D008180_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0007179', 'MONDO:0007915']",12,100.0
